Timestamp,District_ID,Latitude,Longitude,Area_Type,Pop_Density,Temperature,Relative_Humidity,Wind_Speed,PM1,PM2.5,UM003,Hour,DayOfWeek,Month
2022-01-01 00:00:00,Cau_Giay,21.036,105.795,2,23000,13.9,90,4.7,27.72,46.9,1863.0,0,5,1
2022-01-01 01:00:00,Cau_Giay,21.036,105.795,2,23000,14.3,88,4.1,27.72,46.9,1863.0,1,5,1
2022-01-01 02:00:00,Cau_Giay,21.036,105.795,2,23000,14.4,87,4.9,27.72,46.9,1863.0,2,5,1
2022-01-01 03:00:00,Cau_Giay,21.036,105.795,2,23000,14.8,86,6.0,27.72,46.9,1863.0,3,5,1
2022-01-01 04:00:00,Cau_Giay,21.036,105.795,2,23000,14.9,84,5.0,27.72,46.9,1863.0,4,5,1
2022-01-01 05:00:00,Cau_Giay,21.036,105.795,2,23000,14.8,85,3.7,27.72,46.9,1863.0,5,5,1
2022-01-01 06:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,83,4.5,27.72,46.9,1863.0,6,5,1
2022-01-01 07:00:00,Cau_Giay,21.036,105.795,2,23000,15.5,84,5.5,27.72,46.9,1863.0,7,5,1
2022-01-01 08:00:00,Cau_Giay,21.036,105.795,2,23000,16.1,80,6.5,27.72,46.9,1863.0,8,5,1
2022-01-01 09:00:00,Cau_Giay,21.036,105.795,2,23000,16.8,76,7.7,27.72,46.9,1863.0,9,5,1
2022-01-01 10:00:00,Cau_Giay,21.036,105.795,2,23000,17.5,72,9.4,27.72,46.9,1863.0,10,5,1
2022-01-01 11:00:00,Cau_Giay,21.036,105.795,2,23000,18.5,68,9.1,27.72,46.9,1863.0,11,5,1
2022-01-01 12:00:00,Cau_Giay,21.036,105.795,2,23000,19.4,65,9.6,27.72,46.9,1863.0,12,5,1
2022-01-01 13:00:00,Cau_Giay,21.036,105.795,2,23000,20.4,62,10.2,27.72,46.9,1863.0,13,5,1
2022-01-01 14:00:00,Cau_Giay,21.036,105.795,2,23000,20.6,60,11.0,27.72,46.9,1863.0,14,5,1
2022-01-01 15:00:00,Cau_Giay,21.036,105.795,2,23000,20.8,58,11.5,27.72,46.9,1863.0,15,5,1
2022-01-01 16:00:00,Cau_Giay,21.036,105.795,2,23000,20.5,59,14.2,27.72,46.9,1863.0,16,5,1
2022-01-01 17:00:00,Cau_Giay,21.036,105.795,2,23000,19.4,63,13.9,27.72,46.9,1863.0,17,5,1
2022-01-01 18:00:00,Cau_Giay,21.036,105.795,2,23000,18.6,65,12.9,27.72,46.9,1863.0,18,5,1
2022-01-01 19:00:00,Cau_Giay,21.036,105.795,2,23000,17.1,70,13.3,27.72,46.9,1863.0,19,5,1
2022-01-01 20:00:00,Cau_Giay,21.036,105.795,2,23000,16.6,70,12.8,27.72,46.9,1863.0,20,5,1
2022-01-01 21:00:00,Cau_Giay,21.036,105.795,2,23000,16.4,71,10.9,27.72,46.9,1863.0,21,5,1
2022-01-01 22:00:00,Cau_Giay,21.036,105.795,2,23000,16.1,72,8.6,27.72,46.9,1863.0,22,5,1
2022-01-01 23:00:00,Cau_Giay,21.036,105.795,2,23000,15.8,74,6.4,27.72,46.9,1863.0,23,5,1
2022-01-02 00:00:00,Cau_Giay,21.036,105.795,2,23000,15.4,75,6.6,27.72,46.9,1863.0,0,6,1
2022-01-02 01:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,76,5.8,27.72,46.9,1863.0,1,6,1
2022-01-02 02:00:00,Cau_Giay,21.036,105.795,2,23000,15.0,75,10.1,27.72,46.9,1863.0,2,6,1
2022-01-02 03:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,73,11.9,27.72,46.9,1863.0,3,6,1
2022-01-02 04:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,74,9.7,27.72,46.9,1863.0,4,6,1
2022-01-02 05:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,74,7.6,27.72,46.9,1863.0,5,6,1
2022-01-02 06:00:00,Cau_Giay,21.036,105.795,2,23000,15.1,73,7.6,27.72,46.9,1863.0,6,6,1
2022-01-02 07:00:00,Cau_Giay,21.036,105.795,2,23000,15.2,73,9.9,27.72,46.9,1863.0,7,6,1
2022-01-02 08:00:00,Cau_Giay,21.036,105.795,2,23000,15.6,71,9.2,27.72,46.9,1863.0,8,6,1
2022-01-02 09:00:00,Cau_Giay,21.036,105.795,2,23000,16.4,69,8.4,27.72,46.9,1863.0,9,6,1
2022-01-02 10:00:00,Cau_Giay,21.036,105.795,2,23000,17.5,65,8.6,27.72,46.9,1863.0,10,6,1
2022-01-02 11:00:00,Cau_Giay,21.036,105.795,2,23000,18.9,61,8.6,27.72,46.9,1863.0,11,6,1
